type,passage,original,question,choices,answer
Information comprehension and inference,"The following text is adapted from Edith Nesbit’s 1906 novel <em>The Railway Children</em>. Mother did not spend all her time in paying dull [visits] to dull ladies, and sitting dully at home waiting for dull ladies to pay [visits] to her. She was almost always there, ready to play with the children, and read to them, and help them to do their home-lessons. Besides this she used to write stories for them while they were at school, and read them aloud after tea, and she always made up funny pieces of poetry for their birthdays and for other great occasions.","The following text is adapted from Edith Nesbit’s 1906 novel <em>The Railway Children</em>. Mother did not spend all her time in paying dull [visits] to dull ladies, and sitting dully at home waiting for dull ladies to pay [visits] to her. She was almost always there, ready to play with the children, and read to them, and help them to do their home-lessons. Besides this she used to write stories for them while they were at school, and read them aloud after tea, and she always made up funny pieces of poetry for their birthdays and for other great occasions.","According to the text, what is true about Mother?",A) She wishes that more ladies would visit her. B) Birthdays are her favorite special occasion. C) She creates stories and poems for her children. D) Reading to her children is her favorite activity.,She creates stories and poems for her children.
find the subject,"The following text is from Maggie Pogue Johnson’s 1910 poem “Poet of Our Race.” In this poem, the speaker is addressing Paul Laurence Dunbar, a Black author. <quote>Thou, with stroke of mighty pen, Hast told of joy and mirth, And read the hearts and souls of men As cradled from their birth. The language of the flowers, Thou hast read them all, And e’en the little brook Responded to thy call.</quote>","The following text is from Maggie Pogue Johnson’s 1910 poem “Poet of Our Race.” In this poem, the speaker is addressing Paul Laurence Dunbar, a Black author. <quote>Thou, with stroke of mighty pen, Hast told of joy and mirth, And read the hearts and souls of men As cradled from their birth. The language of the flowers, Thou hast read them all, And e’en the little brook Responded to thy call.</quote>",Which choice best states the main purpose of the text?,A) To praise a certain writer for being especially perceptive regarding people and nature B) To establish that a certain writer has read extensively about a variety of topics C) To call attention to a certain writer’s careful and elaborately detailed writing process D) To recount fond memories of an afternoon spent in nature with a certain writer,To praise a certain writer for being especially perceptive regarding people and nature
Reasoning,"“To You” is an 1856 poem by Walt Whitman. In the poem, Whitman suggests that readers, whom he addresses directly, have not fully understood themselves, writing, “You have not known what you are, you have slumber’d upon yourself / all your life, / Your eyelids have been the same as closed most of the time.”","“To You” is an 1856 poem by Walt Whitman. In the poem, Whitman suggests that readers, whom he addresses directly, have not fully understood themselves, writing, _______",Which quotation from “To You” most effectively illustrates the claim?,"A) “You have not known what you are, you have slumber’d upon yourself / all your life, / Your eyelids have been the same as closed most of the time.” B) “These immense meadows, these interminable rivers, you are immense / and interminable as they.” C) “I should have made my way straight to you long ago, / I should have blabb’d nothing but you, I should have chanted nothing / but you.” D) “I will leave all and come and make the hymns of you, / None has understood you, but I understand you.”","“You have not known what you are, you have slumber’d upon yourself / all your life, / Your eyelids have been the same as closed most of the time.”"
Reasoning,"Born in 1891 to a Quechua-speaking family in the Andes Mountains of Peru, Martín Chambi is today considered to be one of the most renowned figures of Latin American photography. In a paper for an art history class, a student claims that Chambi’s photographs have considerable ethnographic value—in his work, Chambi was able to capture diverse elements of Peruvian society, representing his subjects with both dignity and authenticity.","Born in 1891 to a Quechua-speaking family in the Andes Mountains of Peru, Martín Chambi is today considered to be one of the most renowned figures of Latin American photography. In a paper for an art history class, a student claims that Chambi’s photographs have considerable ethnographic value—in his work, Chambi was able to capture diverse elements of Peruvian society, representing his subjects with both dignity and authenticity.","Which finding, if true, would most directly support the student’s claim?","A) Chambi took many commissioned portraits of wealthy Peruvians, but he also produced hundreds of images carefully documenting the peoples, sites, and customs of Indigenous communities of the Andes. B) Chambi’s photographs demonstrate a high level of technical skill, as seen in his strategic use of illumination to create dramatic light and shadow contrasts. C) During his lifetime, Chambi was known and celebrated both within and outside his native Peru, as his work was published in places like Argentina, Spain, and Mexico. D) Some of the peoples and places Chambi photographed had long been popular subjects for Peruvian photographers.","Chambi took many commissioned portraits of wealthy Peruvians, but he also produced hundreds of images carefully documenting the peoples, sites, and customs of Indigenous communities of the Andes."
Reasoning,"In the mountains of Brazil, <em>Barbacenia tomentosa</em> and <em>Barbacenia macrantha</em>—two plants in the Velloziaceae family—establish themselves on soilless, nutrient-poor patches of quartzite rock. Plant ecologists Anna Abrahão and Patricia de Britto Costa used microscopic analysis to determine that the roots of B. <em>tomentosa</em> and B. <em>macrantha</em>, which grow directly into the quartzite, have clusters of fine hairs near the root tip; further analysis indicated that these hairs secrete both malic and citric acids. The researchers hypothesize that the plants depend on dissolving underlying rock with these acids, as the process not only creates channels for continued growth but also releases phosphates that provide the vital nutrient phosphorus.","In the mountains of Brazil, <em>Barbacenia tomentosa</em> and <em>Barbacenia macrantha</em>—two plants in the Velloziaceae family—establish themselves on soilless, nutrient-poor patches of quartzite rock. Plant ecologists Anna Abrahão and Patricia de Britto Costa used microscopic analysis to determine that the roots of B. <em>tomentosa</em> and B. <em>macrantha</em>, which grow directly into the quartzite, have clusters of fine hairs near the root tip; further analysis indicated that these hairs secrete both malic and citric acids. The researchers hypothesize that the plants depend on dissolving underlying rock with these acids, as the process not only creates channels for continued growth but also releases phosphates that provide the vital nutrient phosphorus.","Which finding, if true, would most directly support the researchers’ hypothesis?","A) Other species in the Velloziaceae family are found in terrains with more soil but have root structures similar to those of B. tomentosa and B. macrantha. B) Though B. tomentosa and B. macrantha both secrete citric and malic acids, each species produces the acids in different proportions. C) The roots of B. tomentosa and B. macrantha carve new entry points into rocks even when cracks in the surface are readily available. D) B. tomentosa and B. macrantha thrive even when transferred to the surfaces of rocks that do not contain phosphates.",The roots of B. tomentosa and B. macrantha carve new entry points into rocks even when cracks in the surface are readily available.
fill in the blank,"Herbivorous sauropod dinosaurs could grow more than 100 feet long and weigh up to 80 tons, and some researchers have attributed the evolution of sauropods to such massive sizes to increased plant production resulting from high levels of atmospheric carbon dioxide during the Mesozoic era. However, there is no evidence of significant spikes in carbon dioxide levels coinciding with relevant periods in sauropod evolution, such as when the first large sauropods appeared, when several sauropod lineages underwent further evolution toward gigantism, or when sauropods reached their maximum known sizes, suggesting that the evolution of larger body sizes in sauropods did not depend on increased atmospheric carbon dioxide.","Herbivorous sauropod dinosaurs could grow more than 100 feet long and weigh up to 80 tons, and some researchers have attributed the evolution of sauropods to such massive sizes to increased plant production resulting from high levels of atmospheric carbon dioxide during the Mesozoic era. However, there is no evidence of significant spikes in carbon dioxide levels coinciding with relevant periods in sauropod evolution, such as when the first large sauropods appeared, when several sauropod lineages underwent further evolution toward gigantism, or when sauropods reached their maximum known sizes, suggesting that _______","In documents called judicial opinions, judges explain the reasoning behind their legal rulings, and in those explanations they sometimes cite and discuss historical and contemporary philosophers. Legal scholar and philosopher Anita L. Allen argues that while judges are naturally inclined to mention philosophers whose views align with their own positions, the strongest judicial opinions consider and rebut potential objections; discussing philosophers whose views conflict with judges’ views could therefore help judges improve the arguments they put forward in their judicial opinions. ",A) fluctuations in atmospheric carbon dioxide affected different sauropod lineages differently. B) the evolution of larger body sizes in sauropods did not depend on increased atmospheric carbon dioxide. C) atmospheric carbon dioxide was higher when the largest known sauropods lived than it was when the first sauropods appeared. D) sauropods probably would not have evolved to such immense sizes if atmospheric carbon dioxide had been even slightly higher.,the evolution of larger body sizes in sauropods did not depend on increased atmospheric carbon dioxide.
fill in the blank,"In documents called judicial opinions, judges explain the reasoning behind their legal rulings, and in those explanations they sometimes cite and discuss historical and contemporary philosophers. Legal scholar and philosopher Anita L. Allen argues that while judges are naturally inclined to mention philosophers whose views align with their own positions, the strongest judicial opinions consider and rebut potential objections; discussing philosophers whose views conflict with judges’ views could therefore help judges improve the arguments they put forward in their judicial opinions.","In documents called judicial opinions, judges explain the reasoning behind their legal rulings, and in those explanations they sometimes cite and discuss historical and contemporary philosophers. Legal scholar and philosopher Anita L. Allen argues that while judges are naturally inclined to mention philosophers whose views align with their own positions, the strongest judicial opinions consider and rebut potential objections; discussing philosophers whose views conflict with judges’ views could therefore _______",Which choice most logically completes the text?,A) allow judges to craft judicial opinions without needing to consult philosophical works. B) help judges improve the arguments they put forward in their judicial opinions. C) make judicial opinions more comprehensible to readers without legal or philosophical training. D) bring judicial opinions in line with views that are broadly held among philosophers.,help judges improve the arguments they put forward in their judicial opinions.
grammar,"Public-awareness campaigns about the need to reduce single-use plastics can be successful, says researcher Kim Borg of Monash University in Australia, when these campaigns give consumers a choice: for example, Japan achieved a 40 percent reduction in plastic-bag use after cashiers were instructed to ask customers whether they wanted a bag.","Public-awareness campaigns about the need to reduce single-use plastics can be successful, says researcher Kim Borg of Monash University in Australia, when these campaigns give consumers a choice: for example, Japan achieved a 40 percent reduction in plastic-bag use after cashiers were instructed to ask customers whether _______ wanted a bag.",Which choice completes the text so that it conforms to the conventions of Standard English? ,A) they B) one C) you D) it,they
grammar,"In ancient Greece, an Epicurean was a follower of Epicurus, a philosopher whose beliefs revolved around the pursuit of pleasure. Epicurus defined pleasure as “the absence of pain in the body and of trouble in the soul,” positing that all life’s virtues derived from this absence.","In ancient Greece, an Epicurean was a follower of Epicurus, a philosopher whose beliefs revolved around the pursuit of pleasure. Epicurus defined pleasure as “the absence of pain in the body and of trouble in the _______ that all life’s virtues derived from this absence.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) soul,” positing B) soul”: positing C) soul”; positing D) soul.” Positing","soul,” positing"
grammar,"British scientists James Watson and Francis Crick won the Nobel Prize in part for their 1953 paper announcing the double helix structure of DNA, but it is misleading to say that Watson and Crick discovered the double helix. Their findings were based on a famous X-ray image of DNA fibers, “Photo 51,” developed by X-ray crystallographer Rosalind Franklin and her graduate student Raymond Gosling.","British scientists James Watson and Francis Crick won the Nobel Prize in part for their 1953 paper announcing the double helix structure of DNA, but it is misleading to say that Watson and Crick discovered the double helix. _______ findings were based on a famous X-ray image of DNA fibers, “Photo 51,” developed by X-ray crystallographer Rosalind Franklin and her graduate student Raymond Gosling.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) They’re B) It’s C) Their D) Its,Their
grammar,"In 1937, Chinese American screen actor Anna May Wong, who had portrayed numerous villains and secondary characters but never a heroine, finally got a starring role in Paramount Pictures’ <em>Daughter of Shanghai</em>, a film that critic Stina Chyn claims “expanded the range of possibilities for Asian images on screen.”","In 1937, Chinese American screen actor Anna May Wong, who had portrayed numerous villains and secondary characters but never a heroine, finally got a starring role in Paramount Pictures’ <em>Daughter of Shanghai</em>, a film that _______ “expanded the range of possibilities for Asian images on screen.”",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) critic, Stina Chyn, claims B) critic, Stina Chyn, claims, C) critic Stina Chyn claims D) critic Stina Chyn, claims,",critic Stina Chyn claims
grammar,"In 1637, the price of tulips skyrocketed in Amsterdam, with single bulbs of rare varieties selling for up to the equivalent of $200,000 in today’s US dollars. Some historians claim that this “tulip mania” was the first historical instance of an asset bubble, which occurs when investors drive prices to highs not supported by actual demand.","In 1637, the price of tulips skyrocketed in Amsterdam, with single bulbs of rare varieties selling for up to the equivalent of $200,000 in today’s US dollars. Some historians _______ that this “tulip mania” was the first historical instance of an asset bubble, which occurs when investors drive prices to highs not supported by actual demand.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) claiming B) claim C) having claimed D) to claim,claim
grammar,"Researchers studying magnetosensation have determined why some soil-dwelling roundworms in the Southern Hemisphere move in the opposite direction of Earth’s magnetic field when searching for food: in the Northern Hemisphere, the magnetic field points down, into the ground, but in the Southern Hemisphere, it points up, toward the surface and away from worms’ food sources.","Researchers studying magnetosensation have determined why some soil-dwelling roundworms in the Southern Hemisphere move in the opposite direction of Earth’s magnetic field when searching for _______ in the Northern Hemisphere, the magnetic field points down, into the ground, but in the Southern Hemisphere, it points up, toward the surface and away from worms’ food sources.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) food: B) food, C) food while D) food",food:
grammar,"Scientists believe that, unlike most other species of barnacle, turtle barnacles (<em>Chelonibia testudinari</em>) can dissolve the cement-like secretions they use to attach themselves to a sea turtle shell, enabling the barnacles to move short distances across the shell’s surface.","Scientists believe that, unlike most other species of barnacle, turtle barnacles (<em>Chelonibia testudinari</em>) can dissolve the cement-like secretions they use to attach _______ to a sea turtle shell, enabling the barnacles to move short distances across the shell’s surface.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) it B) themselves C) them D) itself,themselves
grammar,"The classic children’s board game Chutes and Ladders is a version of an ancient Nepalese game, Paramapada Sopanapata. In both games, players encounter “good” or “bad” spaces while traveling along a path; landing on one of the good spaces allows a player to skip ahead and arrive closer to the end goal.","The classic children’s board game Chutes and Ladders is a version of an ancient Nepalese game, Paramapada Sopanapata. In both games, players encounter “good” or “bad” spaces while traveling along a path; landing on one of the good spaces _______ a player to skip ahead and arrive closer to the end goal.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) allows B) are allowing C) have allowed D) allow,allows
grammar,"In 1943, in the midst of World War II, mathematics professor Grace Hopper was recruited by the US military to help the war effort by solving complex equations. Hopper’s subsequent career would involve more than just equations, though: as a pioneering computer programmer, Hopper would help usher in the digital age.","In 1943, in the midst of World War II, mathematics professor Grace Hopper was recruited by the US military to help the war effort by solving complex equations. Hopper’s subsequent career would involve more than just _______ as a pioneering computer programmer, Hopper would help usher in the digital age.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) equations, though: B) equations, though, C) equations. Though, D) equations though","equations, though:"
grammar,"In 1453, English King Henry VI became unfit to rule after falling gravely ill. As a result, Parliament appointed Richard, Third Duke of York, who had a strong claim to the English throne, to rule as Lord Protector. Upon recovering two years later, Henry resumed his reign, forcing an angered Richard from the royal court and precipitating a series of battles later known as the Wars of the Roses.","In 1453, English King Henry VI became unfit to rule after falling gravely ill. As a result, Parliament appointed Richard, Third Duke of York, who had a strong claim to the English throne, to rule as Lord Protector. Upon recovering two years later, _______ forcing an angered Richard from the royal court and precipitating a series of battles later known as the Wars of the Roses.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) Henry resumed his reign, B) the reign of Henry resumed, C) Henry’s reign resumed, D) it was Henry who resumed his reign,","Henry resumed his reign,"
conjunction,"Although novels and poems are considered distinct literary forms, many authors have created hybrid works that incorporate elements of both. Bernardine Evaristo’s <em>The Emperor's Babe</em>, for example, is a verse novel, a book-length narrative complete with characters and a plot but conveyed in short, crisp lines of poetry rather than prose.","Although novels and poems are considered distinct literary forms, many authors have created hybrid works that incorporate elements of both. Bernardine Evaristo’s <em>The Emperor's Babe</em>, _______ is a verse novel, a book-length narrative complete with characters and a plot but conveyed in short, crisp lines of poetry rather than prose.",Which choice completes the text with the most logical transition?,"A) by contrast, B) consequently, C) secondly, D) for example,","for example,"
conjunction,"At two weeks old, the time their critical socialization period begins, wolves can smell but cannot yet see or hear. Domesticated dogs, by contrast, can see, hear, and smell by the end of two weeks. This relative lack of sensory input may help explain why wolves behave so differently around humans than dogs do: from a very young age, wolves are more wary and less exploratory.","At two weeks old, the time their critical socialization period begins, wolves can smell but cannot yet see or hear. Domesticated dogs, _______ can see, hear, and smell by the end of two weeks. This relative lack of sensory input may help explain why wolves behave so differently around humans than dogs do: from a very young age, wolves are more wary and less exploratory.",Which choice completes the text with the most logical transition?,"A) in other words, B) for instance, C) by contrast, D) accordingly,","by contrast,"
conjunction,"Researchers Helena Mihaljević-Brandt, Lucía Santamaría, and Marco Tullney report that while mathematicians may have traditionally worked alone, evidence points to a shift in the opposite direction. Increasingly, mathematicians are choosing to collaborate with their peers—a trend illustrated by a rise in the number of mathematics publications credited to multiple authors.","Researchers Helena Mihaljević-Brandt, Lucía Santamaría, and Marco Tullney report that while mathematicians may have traditionally worked alone, evidence points to a shift in the opposite direction. _______ mathematicians are choosing to collaborate with their peers—a trend illustrated by a rise in the number of mathematics publications credited to multiple authors.",Which choice completes the text with the most logical transition?,"A) Similarly, B) For this reason, C) Furthermore, D) Increasingly,","Increasingly,"
Comparative Advantage Analysis,"While researching a topic, a student has taken the following notes: • Pterosaurs were flying reptiles that existed millions of years ago. • In a 2021 study, Anusuya Chinsamy-Turan analyzed fragments of pterosaur jawbones located in the Sahara Desert. • She was initially unsure if the bones belonged to juvenile or adult pterosaurs. • She used advanced microscope techniques to determine that the bones had few growth lines relative to the bones of fully grown pterosaurs. • She concluded that the bones belonged to juveniles.","While researching a topic, a student has taken the following notes: • Pterosaurs were flying reptiles that existed millions of years ago. • In a 2021 study, Anusuya Chinsamy-Turan analyzed fragments of pterosaur jawbones located in the Sahara Desert. • She was initially unsure if the bones belonged to juvenile or adult pterosaurs. • She used advanced microscope techniques to determine that the bones had few growth lines relative to the bones of fully grown pterosaurs. • She concluded that the bones belonged to juveniles.",The student wants to present the study and its findings. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"A) In 2021, Chinsamy-Turan studied pterosaur jawbones and was initially unsure if the bones belonged to juveniles or adults. B) Pterosaur jawbones located in the Sahara Desert were the focus of a 2021 study. C) In a 2021 study, Chinsamy-Turan used advanced microscope techniques to analyze the jawbones of pterosaurs, flying reptiles that existed millions of years ago. D) In a 2021 study, Chinsamy-Turan determined that pterosaur jawbones located in the Sahara Desert had few growth lines relative to the bones of fully grown pterosaurs and thus belonged to juveniles.","In a 2021 study, Chinsamy-Turan determined that pterosaur jawbones located in the Sahara Desert had few growth lines relative to the bones of fully grown pterosaurs and thus belonged to juveniles."
Comparative Advantage Analysis,"While researching a topic, a student has taken the following notes: • African American women played prominent roles in the Civil Rights Movement, including at the famous 1963 March on Washington. • Civil rights activist Anna Hedgeman, one of the march’s organizers, was a political adviser who had worked for President Truman. • Civil rights activist Daisy Bates was a well-known journalist and advocate for school desegregation. • Hedgeman worked behind the scenes to make sure a woman was included in the lineup of speakers at the march. • Bates was the sole woman to speak, delivering a brief but memorable address to the cheering crowd.","While researching a topic, a student has taken the following notes: • African American women played prominent roles in the Civil Rights Movement, including at the famous 1963 March on Washington. • Civil rights activist Anna Hedgeman, one of the march’s organizers, was a political adviser who had worked for President Truman. • Civil rights activist Daisy Bates was a well-known journalist and advocate for school desegregation. • Hedgeman worked behind the scenes to make sure a woman was included in the lineup of speakers at the march. • Bates was the sole woman to speak, delivering a brief but memorable address to the cheering crowd.",The student wants to compare the two women’s contributions to the March on Washington. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"A) Hedgeman and Bates contributed to the march in different ways; Bates, for example, delivered a brief but memorable address. B) Hedgeman worked in politics and helped organize the march, while Bates was a journalist and school desegregation advocate. C) Although Hedgeman worked behind the scenes to make sure a woman speaker was included, Bates was the sole woman to speak at the march. D) Many African American women, including Bates and Hedgeman, fought for civil rights, but only one spoke at the march.","Although Hedgeman worked behind the scenes to make sure a woman speaker was included, Bates was the sole woman to speak at the march."
fill in the blank,"For painter Jacob Lawrence, being observant was an important part of the artistic process. Because he paid close attention to all the details of his Harlem neighborhood, Lawrence’s artwork captured nuances in the beauty and vitality of the Black experience during the Harlem Renaissance and the Great Migration.","For painter Jacob Lawrence, being _______ was an important part of the artistic process. Because he paid close attention to all the details of his Harlem neighborhood, Lawrence’s artwork captured nuances in the beauty and vitality of the Black experience during the Harlem Renaissance and the Great Migration.",Which choice completes the text with the most logical and precise word or phrase?,A) skeptical B) observant C) critical D) confident,observant
fill in the blank,"Mônica Lopes-Ferreira and others at Brazil’s Butantan Institute are studying the freshwater stingray species <em>Potamotrygon</em> rex to determine whether biological characteristics such as the rays’ age and sex have a substantial effect on the toxicity of their venom—that is, to see if differences in these traits are associated with considerable variations in venom potency.","Mônica Lopes-Ferreira and others at Brazil’s Butantan Institute are studying the freshwater stingray species <em>Potamotrygon</em> rex to determine whether biological characteristics such as the rays’ age and sex have _______ effect on the toxicity of their venom—that is, to see if differences in these traits are associated with considerable variations in venom potency.",Which choice completes the text with the most logical and precise word or phrase?,A) a disconcerting B) an acceptable C) an imperceptible D) a substantial,a substantial
fill in the blank,"Researchers have struggled to pinpoint specific causes for hiccups, which happen when a person’s diaphragm contracts involuntarily. However, neuroscientist Kimberley Whitehead has found that these uncontrollable contractions may play an important role in helping infants regulate their breathing.","Researchers have struggled to pinpoint specific causes for hiccups, which happen when a person’s diaphragm contracts _______ . However, neuroscientist Kimberley Whitehead has found that these uncontrollable contractions may play an important role in helping infants regulate their breathing.",Which choice completes the text with the most logical and precise word or phrase?,A) involuntarily B) beneficially C) strenuously D) smoothly,involuntarily
fill in the blank,Critics have asserted that fine art and fashion rarely intersect in a world where artists create timeless works for exhibition and designers periodically produce new styles for the public to buy. Luiseño/ Shoshone-Bannock beadwork artist and designer Jamie Okuma challenges this view: her work can be seen in the Metropolitan Museum of Art and purchased through her online boutique.,Critics have asserted that fine art and fashion rarely _______ in a world where artists create timeless works for exhibition and designers periodically produce new styles for the public to buy. Luiseño/ Shoshone-Bannock beadwork artist and designer Jamie Okuma challenges this view: her work can be seen in the Metropolitan Museum of Art and purchased through her online boutique.,Which choice completes the text with the most logical and precise word or phrase?,A) prevail B) succumb C) diverge D) intersect,intersect
fill in the blank,"Scholarly discussions of gender in Shakespeare’s comedies often celebrate the rebellion of the playwright’s characters against the rigid expectations prescribed by Elizabethan society. Most of the comedies end in marriage, with characters returning to their socially dictated gender roles after previously defying them, but there are some notable exceptions.","Scholarly discussions of gender in Shakespeare’s comedies often celebrate the rebellion of the playwright’s characters against the rigid expectations _______ by Elizabethan society. Most of the comedies end in marriage, with characters returning to their socially dictated gender roles after previously defying them, but there are some notable exceptions.",Which choice completes the text with the most logical and precise word or phrase?,A) interjected B) committed C) illustrated D) prescribed,prescribed
fill in the blank,"In studying the use of external stimuli to reduce the itching sensation caused by an allergic histamine response, Louise Ward and colleagues found that while harmless applications of vibration or warming can provide a temporary distraction, such innocuous stimuli actually offer less relief than a stimulus that seems less benign, like a mild electric shock.","In studying the use of external stimuli to reduce the itching sensation caused by an allergic histamine response, Louise Ward and colleagues found that while harmless applications of vibration or warming can provide a temporary distraction, such _______ stimuli actually offer less relief than a stimulus that seems less benign, like a mild electric shock.",Which choice completes the text with the most logical and precise word or phrase?,A) deceptive B) innocuous C) novel D) impractical,innocuous
fill in the blank,"The province of Xoconochco was situated on the Pacific coast, hundreds of kilometers southeast of Tenochtitlan, the capital of the Aztec Empire. Because Xoconochco’s location within the empire was so peripheral, cacao and other trade goods produced there could reach the capital only after a long overland journey.","The province of Xoconochco was situated on the Pacific coast, hundreds of kilometers southeast of Tenochtitlan, the capital of the Aztec Empire. Because Xoconochco’s location within the empire was so _______ , cacao and other trade goods produced there could reach the capital only after a long overland journey.",Which choice completes the text with the most logical and precise word or phrase?,A) unobtrusive B) concealed C) approximate D) peripheral,peripheral
find the subject,The following text is from Charlotte Brontë’s 1847 novel <em>Jane Eyre</em>. Jane works as a governess at Thornfield Hall. <quote>I went on with my day’s business tranquilly; but ever and anon vague suggestions kept wandering across my brain of reasons why I should quit Thornfield; and I kept involuntarily framing advertisements and pondering conjectures about new situations: these thoughts I did not think to check; they might germinate and bear fruit if they could.</quote>,The following text is from Charlotte Brontë’s 1847 novel <em>Jane Eyre</em>. Jane works as a governess at Thornfield Hall. <quote>I went on with my day’s business tranquilly; but ever and anon vague suggestions kept wandering across my brain of reasons why I should quit Thornfield; and I kept involuntarily framing advertisements and pondering conjectures about new situations: these thoughts I did not think to check; they might germinate and bear fruit if they could.</quote>,Which choice best states the main purpose of the text?,A) To convey a contrast between Jane’s outward calmness and internal restlessness B) To emphasize Jane’s loyalty to the people she works for at Thornfield Hall C) To demonstrate that Jane finds her situation both challenging and deeply fulfilling D) To describe Jane’s determination to secure employment outside of Thornfield Hall,To convey a contrast between Jane’s outward calmness and internal restlessness
find response,"Text 1 Most animals can regenerate some parts of their bodies, such as skin. But when a three-banded panther worm is cut into three pieces, each piece grows into a new worm. Researchers are investigating this feat partly to learn more about humans’ comparatively limited abilities to regenerate, and they’re making exciting progress. An especially promising discovery is that both humans and panther worms have a gene for early growth response (EGR) linked to regeneration. Text 2 When Mansi Srivastava and her team reported that panther worms, like humans, possess a gene for EGR, it caused excitement. However, as the team pointed out, the gene likely functions very differently in humans than it does in panther worms. Srivastava has likened EGR to a switch that activates other genes involved in regeneration in panther worms, but how this switch operates in humans remains unclear.","Text 1 Most animals can regenerate some parts of their bodies, such as skin. But when a three-banded panther worm is cut into three pieces, each piece grows into a new worm. Researchers are investigating this feat partly to learn more about humans’ comparatively limited abilities to regenerate, and they’re making exciting progress. An especially promising discovery is that both humans and panther worms have a gene for early growth response (EGR) linked to regeneration. Text 2 When Mansi Srivastava and her team reported that panther worms, like humans, possess a gene for EGR, it caused excitement. However, as the team pointed out, the gene likely functions very differently in humans than it does in panther worms. Srivastava has likened EGR to a switch that activates other genes involved in regeneration in panther worms, but how this switch operates in humans remains unclear.","Based on the texts, what would the author of Text 2 most likely say about Text 1’s characterization of the discovery involving EGR?",A) It is reasonable given that Srivastava and her team have identified how EGR functions in both humans and panther worms. B) It is overly optimistic given additional observations from Srivastava and her team. C) It is unexpected given that Srivastava and her team’s findings were generally met with enthusiasm. D) It is unfairly dismissive given the progress that Srivastava and her team have reported.,It is overly optimistic given additional observations from Srivastava and her team.
find the subject,"The following text is adapted from William Shakespeare’s 1609 poem “Sonnet 27.” The poem is addressed to a close friend as if he were physically present. Weary with toil, I [hurry] to my bed, The dear repose for limbs with travel tired; But then begins a journey in my head To work my mind, when body’s work’s expired: For then my thoughts—from far where I abide— [Begin] a zealous pilgrimage to thee, And keep my drooping eyelids open wide,","The following text is adapted from William Shakespeare’s 1609 poem “Sonnet 27.” The poem is addressed to a close friend as if he were physically present. Weary with toil, I [hurry] to my bed, The dear repose for limbs with travel tired; But then begins a journey in my head To work my mind, when body’s work’s expired: For then my thoughts—from far where I abide— [Begin] a zealous pilgrimage to thee, And keep my drooping eyelids open wide,",What is the main idea of the text?,A) The speaker is asleep and dreaming about traveling to see the friend. B) The speaker is planning an upcoming trip to the friend’s house. C) The speaker is too fatigued to continue a discussion with the friend. D) The speaker is thinking about the friend instead of immediately falling asleep.,The speaker is thinking about the friend instead of immediately falling asleep.
find response,"The following text is adapted from Lewis Carroll’s 1889 satirical novel Sylvie and Bruno. A crowd has gathered outside a room belonging to the Warden, an official who reports to the Lord Chancellor. One man, who was more excited than the rest, flung his hat high into the air, and shouted (as well as I could make out) “Who roar for the Sub-Warden?” Everybody roared, but whether it was for the Sub-Warden, or not, did not clearly appear: some were shouting “Bread!” and some “Taxes!”, but no one seemed to know what it was they really wanted. All this I saw from the open window of the Warden’s breakfast-saloon, looking across the shoulder of the Lord Chancellor. “What can it all mean?” he kept repeating to himself. “I never heard such shouting before—and at this time of the morning, too! And with such unanimity!”","The following text is adapted from Lewis Carroll’s 1889 satirical novel Sylvie and Bruno. A crowd has gathered outside a room belonging to the Warden, an official who reports to the Lord Chancellor. One man, who was more excited than the rest, flung his hat high into the air, and shouted (as well as I could make out) “Who roar for the Sub-Warden?” Everybody roared, but whether it was for the Sub-Warden, or not, did not clearly appear: some were shouting “Bread!” and some “Taxes!”, but no one seemed to know what it was they really wanted. All this I saw from the open window of the Warden’s breakfast-saloon, looking across the shoulder of the Lord Chancellor. “What can it all mean?” he kept repeating to himself. “I never heard such shouting before—and at this time of the morning, too! And with such unanimity!”","Based on the text, how does the Lord Chancellor respond to the crowd?","A) He asks about the meaning of the crowd’s shouting, even though he claims to know what the crowd wants. B) He indicates a desire to speak to the crowd, even though the crowd has asked to speak to the Sub-Warden. C) He expresses sympathy for the crowd’s demands, even though the crowd’s shouting annoys him. D) He describes the crowd as being united, even though the crowd clearly appears otherwise.","He describes the crowd as being united, even though the crowd clearly appears otherwise."
