type,passage,original,question,choices,answer
grammar,"Beatrix Potter is perhaps best known for writing and illustrating children’s books such as The Tale of <em>Peter Rabbit </em>(1902), but she also dedicated herself to mycology, the study of fungi, producing more than 350 paintings of the fungal species she observed in nature and submitting her research on spore germination to the Linnean Society of London.","Beatrix Potter is perhaps best known for writing and illustrating children’s books such as The Tale of <em>Peter Rabbit </em>(1902), but she also dedicated herself to mycology, the study of ______ more than 350 paintings of the fungal species she observed in nature and submitting her research on spore germination to the Linnean Society of London.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) fungi; producing B) fungi. Producing C) fungi producing D) fungi, producing","fungi, producing"
grammar,"In assessing the films of Japanese director Akira Kurosawa, many critics have focused on Kurosawa’s use of Western literary sources but have missed his equally deep engagement with Japanese artistic traditions such as Noh theater.","In assessing the films of Japanese director Akira Kurosawa, ______ have missed his equally deep engagement with Japanese artistic traditions such as Noh theater.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) many critics have focused on Kurosawa’s use of Western literary sources but B) Kurosawa’s use of Western literary sources has been the focus of many critics, who C) there are many critics who have focused on Kurosawa’s use of Western literary sources, but they D) the focus of many critics has been on Kurosawa’s use of Western literary sources; they",many critics have focused on Kurosawa’s use of Western literary sources but
grammar,"Joshua Hinson, director of the language revitalization program of the Chickasaw Nation in Oklahoma, helped produce the world’s first Indigenous-language instructional app, Chickasaw Basic, in 2009; an online television network, Chickasaw TV, in 2010; and a Rosetta Stone language course in Chickasaw, in 2015.","Joshua Hinson, director of the language revitalization program of the Chickasaw Nation in Oklahoma, helped produce the world’s first Indigenous-language instructional app, Chickasaw ______ Chickasaw TV, in 2010; and a Rosetta Stone language course in Chickasaw, in 2015.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) Basic; in 2009, an online television network; B) Basic; in 2009, an online television network, C) Basic, in 2009; an online television network, D) Basic, in 2009, an online television network,","Basic, in 2009; an online television network,"
grammar,"The forty-seven geothermal springs of Arkansas’ Hot Springs National Park are sourced via a process known as natural groundwater recharge, in which rainwater percolates downward through the earth—in this case, the porous rocks of the hills around Hot Springs—to collect in a subterranean basin.","The forty-seven geothermal springs of Arkansas’ Hot Springs National Park are sourced via a process known as natural groundwater recharge, in which rainwater percolates downward through the earth—in this case, the porous rocks of the hills around Hot ______ collect in a subterranean basin.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) Springs to B) Springs: to C) Springs—to D) Springs, to",Springs—to
grammar,"Over twenty years ago, in a landmark experiment in the psychology of choice, professor Sheena Iyengar set up a jam-tasting booth at a grocery store. The number of jams available for tasting varied: some shoppers had twenty-four different options, others only six. Interestingly, the shoppers with fewer jams to choose from purchased more jam.","Over twenty years ago, in a landmark experiment in the psychology of choice, professor Sheena Iyengar set up a jam-tasting booth at a grocery store. The number of jams available for tasting ______ some shoppers had twenty-four different options, others only six. Interestingly, the shoppers with fewer jams to choose from purchased more jam.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) varied: B) varied, C) varied, while D) varied while",varied:
grammar,"Nigerian author Buchi Emecheta’s celebrated literary oeuvre includes The Joys of Motherhood, a novel about the changing roles of women in 1950s Lagos; <em>A Kind of Marriage</em>, a television play about the private struggles of a newlywed couple in Nigeria; and Head Above Water, her autobiography.","Nigerian author Buchi Emecheta’s celebrated literary oeuvre includes The Joys of Motherhood, a novel about the changing roles of women in 1950s ______ a television play about the private struggles of a newlywed couple in Nigeria; and Head Above Water, her autobiography.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) Lagos, <em>A Kind of Marriage</em>, B) Lagos; <em>A Kind of Marriage</em>, C) Lagos, <em>A Kind of Marriage</em>: D) Lagos; <em>A Kind of Marriage</em>","Lagos; <em>A Kind of Marriage</em>,"
grammar,"Like other amphibians, the wood frog (Rana sylvatica) is unable to generate its own heat, so during periods of subfreezing temperatures, it survives by producing large amounts of glucose, a sugar that helps prevent damaging ice from forming inside its cells.","Like other amphibians, the wood frog (Rana sylvatica) is unable to generate its own heat, so during periods of subfreezing temperatures, it _______ by producing large amounts of glucose, a sugar that helps prevent damaging ice from forming inside its cells.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) had survived B) survived C) would survive D) survives,survives
grammar,"After a spate of illnesses as a child, Wilma Rudolph was told she might never walk again. Defying all odds, Rudolph didn’t just walk, she ran—fast. During the 1960 Summer Olympics in Rome, she won both the 100- and 200-meter dashes and clinched first place for her team in the 4 ×100-meter relay, becoming the first US woman to win three gold medals in a single Olympics.","After a spate of illnesses as a child, Wilma Rudolph was told she might never walk again. Defying all odds, Rudolph didn’t just walk, she _______ the 1960 Summer Olympics in Rome, she won both the 100- and 200-meter dashes and clinched first place for her team in the 4 ×100-meter relay, becoming the first US woman to win three gold medals in a single Olympics.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) ran—fast—during B) ran—fast during C) ran—fast, during D) ran—fast. During",ran—fast. During
grammar,"In many of her landscape paintings from the 1970s and 1980s, Lebanese American artist Etel Adnan worked to capture the essence of California’s fog-shrouded Mount Tamalpais region through abstraction, using splotches of color to represent the area’s features. Interestingly, the triangle representing the mountain itself is among the few defined figures in her paintings.","In many of her landscape paintings from the 1970s and 1980s, Lebanese American artist Etel Adnan worked to capture the essence of California’s fog-shrouded Mount Tamalpais region through abstraction, using splotches of color to represent the area’s features. Interestingly, the triangle representing the mountain itself _______ among the few defined figures in her paintings.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) are B) have been C) were D) is,is
grammar,"Seneca sculptor Marie Watt’s blanket art comes in a range of shapes and sizes. In 2004, Watt sewed strips of blankets together to craft a 10-by-13-inch sampler; in 2014, she arranged folded blankets into two large stacks and then cast them in bronze, creating two curving 18-foot-tall blue-bronze pillars.","Seneca sculptor Marie Watt’s blanket art comes in a range of shapes and sizes. In 2004, Watt sewed strips of blankets together to craft a 10-by-13-inch _______ in 2014, she arranged folded blankets into two large stacks and then cast them in bronze, creating two curving 18-foot-tall blue-bronze pillars.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) sampler later, B) sampler; C) sampler, D) sampler, later,",sampler;
grammar,"African American Percy Julian was a scientist and entrepreneur whose work helped people around the world to see. Named in 1999 as one of the greatest achievements by a US chemist in the past hundred years, Julian’s 1935 synthesis of the alkaloid physostigmine led to the first mass-produced treatment for glaucoma","African American Percy Julian was a scientist and entrepreneur whose work helped people around the world to see. Named in 1999 as one of the greatest achievements by a US chemist in the past hundred years, _______ led to the first mass-produced treatment for glaucoma",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) Julian synthesized the alkaloid physostigmine in 1935; it B) in 1935 Julian synthesized the alkaloid physostigmine, which C) Julian’s 1935 synthesis of the alkaloid physostigmine D) the alkaloid physostigmine was synthesized by Julian in 1935 and",Julian’s 1935 synthesis of the alkaloid physostigmine
grammar,"The Arctic-Alpine Botanic Garden in Norway and the Jardim Botânico of Rio de Janeiro in Brazil are two of many botanical gardens around the world dedicated to growing diverse plant species, both native and nonnative; fostering scientific research; and educating the public about plant conservation.",The Arctic-Alpine Botanic Garden in Norway and the Jardim Botânico of Rio de Janeiro in Brazil are two of many botanical gardens around the world dedicated to growing diverse plant _______ fostering scientific research; and educating the public about plant conservation.,Which choice completes the text so that it conforms to the conventions of Standard English?,"A) species, both native and nonnative, B) species, both native and nonnative; C) species; both native and nonnative, D) species both native and nonnative,","species, both native and nonnative;"
grammar,"Sociologist Alton Okinaka sits on the review board tasked with adding new sites to the Hawai‘i Register of Historic Places, which includes Pi‘ilanihale Heiau and the ‘Ōpaeka‘a Road Bridge. Okinaka doesn’t make such decisions single-handedly, however; all historical designations must be approved by a group of nine other experts from the fields of architecture, archaeology, history, and Hawaiian culture.","Sociologist Alton Okinaka sits on the review board tasked with adding new sites to the Hawai‘i Register of Historic Places, which includes Pi‘ilanihale Heiau and the ‘Ōpaeka‘a Road Bridge. Okinaka doesn’t make such decisions _______ all historical designations must be approved by a group of nine other experts from the fields of architecture, archaeology, history, and Hawaiian culture.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) single-handedly, however; B) single-handedly; however, C) single-handedly, however, D) single-handedly however","single-handedly, however;"
grammar,"In his groundbreaking book Bengali Harlem and the Lost Histories of South Asian America, Vivek Bald uses newspaper articles, census records, ships’ logs, and memoirs to tell the stories of the South Asian immigrantswho made New York City their home in the early twentieth century.","In his groundbreaking book Bengali Harlem and the Lost Histories of South Asian America, Vivek Bald uses newspaper articles, census records, ships’ logs, and memoirs to tell the _______ who made New York City their home in the early twentieth century.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) story’s of the South Asian immigrants B) story’s of the South Asian immigrants’ C) stories of the South Asian immigrants D) stories’ of the South Asian immigrant’s,stories of the South Asian immigrants
grammar,"In her two major series “Memory Test” and “Autobiography,” painter Howardena Pindell explored themes of healing, self-discovery, and memory by cutting and sewing back together pieces of canvas and inserting personal artifacts, such as postcards, into some of the paintings.","In her two major series “Memory Test” and “Autobiography,” painter Howardena Pindell explored themes _______ healing, self-discovery, and memory by cutting and sewing back together pieces of canvas and inserting personal artifacts, such as postcards, into some of the paintings.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) of B) of, C) of— D) of:",of
grammar,"Both Sona Charaipotra, an Indian American, and Dhonielle Clayton, an African American, grew up frustrated by the lack of diverse characters in books for young people. In 2011, these two writers joined forces to found CAKE Literary, a book packaging company that specializes in the creation and promotion of stories told from diverse perspectives for children and young adults.","Both Sona Charaipotra, an Indian American, and Dhonielle Clayton, an African American, grew up frustrated by the lack of diverse characters in books for young people. In 2011, these two writers joined forces to found CAKE Literary, a book packaging _______ specializes in the creation and promotion of stories told from diverse perspectives for children and young adults.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) company, B) company that C) company D) company, that",company that
grammar,"A study led by scientist Rebecca Kirby at the University of Wisconsin–Madison found that black bears that eat human food before hibernation have increased levels of a rare carbon isotope, carbon-13 (13C), due to the higher 13C levels in corn and cane sugar. Bears with these elevated levels were also found to have much shorter hibernation periods on average.","A study led by scientist Rebecca Kirby at the University of Wisconsin–Madison found that black bears that eat human food before hibernation have increased levels of a rare carbon isotope, _______ due to the higher 13C levels in corn and cane sugar. Bears with these elevated levels were also found to have much shorter hibernation periods on average.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) carbon-13, (13C) B) carbon-13 (13C) C) carbon-13, (13C), D) carbon-13 (13C),","carbon-13 (13C),"
grammar,"In 2010, archaeologist Noel Hidalgo Tan was visiting the twelfth-century temple of Angkor Wat in Cambodia when he noticed markings of red paint on the temple walls. With the help of digital imaging techniques, he discovered the markings to be part of an elaborate mural containing over 200 paintings.","In 2010, archaeologist Noel Hidalgo Tan was visiting the twelfth-century temple of Angkor Wat in Cambodia when he noticed markings of red paint on the temple _______ the help of digital imaging techniques, he discovered the markings to be part of an elaborate mural containing over 200 paintings.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) walls, with B) walls with C) walls so with D) walls. With",walls. With
grammar,"Working from an earlier discovery of Charpentier’s, chemists Emmanuelle Charpentier and Jennifer Doudna—winners of the 2020 Nobel Prize in Chemistry—re-created and then reprogrammed the so-called “genetic scissors” of a species of DNA-cleaving bacteria to forge a tool that is revolutionizing the field of gene technology.","Working from an earlier discovery of Charpentier’s, chemists Emmanuelle Charpentier and Jennifer Doudna—winners of the 2020 Nobel Prize in Chemistry—re-created and then reprogrammed the so-called “genetic scissors” of a species of DNA-cleaving bacteria _______ a tool that is revolutionizing the field of gene technology.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) to forge B) forging C) forged D) and forging,to forge
grammar,"In 2016, engineer Vanessa Galvez oversaw the installation of 164 bioswales, vegetated channels designed to absorb and divert stormwater, along the streets of Queens, New York. By reducing the runoff flowing into city sewers, the bioswales have mitigated both street flooding and the resulting pollution of nearby waterways.","In 2016, engineer Vanessa Galvez oversaw the installation of 164 bioswales, vegetated channels designed to absorb and divert stormwater, along the streets of Queens, New York. By reducing the runoff flowing into city sewers, _______",Which choice completes the text so that it conforms to the conventions of Standard English?,A) the mitigation of both street flooding and the resulting pollution of nearby waterways has been achieved by bioswales. B) the bioswales have mitigated both street flooding and the resulting pollution of nearby waterways. C) the bioswales’ mitigation of both street flooding and the resulting pollution of nearby waterways has been achieved. D) both street flooding and the resulting pollution of nearby waterways have been mitigated by bioswales.,the bioswales have mitigated both street flooding and the resulting pollution of nearby waterways.
grammar,"A study published by Rice University geoscientist Ming Tang in 2019 offers a new explanation for the origin of Earth’s continents: geologicalstructures called arcs, towering ridges that form when a dense oceanic plate subducts under a less dense continental plate, melts in the mantle below, and then rises and bursts through the continental crust above.","A study published by Rice University geoscientist Ming Tang in 2019 offers a new explanation for the origin of Earth’s _______ structures called arcs, towering ridges that form when a dense oceanic plate subducts under a less dense continental plate, melts in the mantle below, and then rises and bursts through the continental crust above.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) continents geological B) continents: geological C) continents; geological D) continents. Geological,continents: geological
